

gen best mean std sigma_prime mutation_r crossover_r
183 86.527267 38.605388 19.257855 0.264724 0.24 0.71
184 84.855247 38.605388 19.257855 0.30864 0.26 0.74
185 84.855247 38.605388 19.257855 0.365412 0.28 0.77
186 86.849923 38.605388 19.257855 0.430165 0.31 0.82
187 65.443222 38.605388 19.257855 0.511833 0.34 0.87
188 88.21983 38.605388 19.257855 0.586673 0.37 0.92
189 88.21983 38.605388 19.257855 0.645686 0.4 0.97
190 86.090206 38.605388 19.257855 0.665485 0.43 1.02
191 74.62678 38.605388 19.257855 0.795146 0.46 1.07
192 65.524567 38.605388 19.257855 0.769859 0.49 1.12
193 87.114909 38.605388 19.257855 0.86623 0.52 1.17
194 87.114909 38.605388 19.257855 0.853007 0.55 1.22
195 83.312155 38.605388 19.257855 0.912729 0.58 1.27
196 75.28678 38.605388 19.257855 0.05 0.1 0.5
197 86.472338 38.605388 19.257855 0.080389 0.12 0.53
198 84.76653 38.605388 19.257855 0.109047 0.14 0.56
199 73.958588 38.605388 19.257855 0.149739 0.16 0.59
200 86.618145 38.605388 19.257855 0.184463 0.18 0.62
201 74.56678 38.605388 19.257855 0.204021 0.2 0.65
202 39.241098 38.605388 19.257855 0.22936 0.22 0.68
203 83.656371 38.605388 19.257855 0.301925 0.24 0.71
204 65.56385 38.605388 19.257855 0.32086 0.26 0.74
205 87.845802 38.605388 19.257855 0.366194 0.28 0.77
206 87.845802 38.605388 19.257855 0.399052 0.31 0.82
207 83.938754 38.605388 19.257855 0.446386 0.34 0.87
208 85.178755 38.605388 19.257855 0.468983 0.37 0.92
209 89.580096 41.047975 24.082136 0.421861 0.1 0.5
210 89.580096 41.047975 24.082136 0.463743 0.12 0.53
211 83.168343 41.047975 24.082136 0.515482 0.14 0.56
212 65.230358 41.047975 24.082136 0.524857 0.16 0.59
213 86.007257 41.047975 24.082136 0.572267 0.18 0.62
214 85.491103 41.047975 24.082136 0.700555 0.2 0.65
215 85.491103 41.047975 24.082136 0.735741 0.22 0.68
216 85.491103 41.047975 24.082136 0.792744 0.24 0.71
217 88.975913 41.047975 24.082136 0.860049 0.26 0.74
218 88.975913 41.047975 24.082136 0.834781 0.28 0.77
219 83.757133 41.047975 24.082136 0.978356 0.31 0.82
220 74.44678 41.047975 24.082136 1.087092 0.34 0.87
221 74.44678 41.047975 24.082136 1.110884 0.37 0.92
222 73.865906 41.047975 24.082136 1.263913 0.4 0.97
223 65.216675 41.047975 24.082136 1.386608 0.43 1.02
224 30.624722 41.047975 24.082136 1.49612 0.46 1.07
225 65.125802 41.047975 24.082136 1.561564 0.49 1.12
226 65.125802 41.047975 24.082136 1.543115 0.52 1.17
227 48.191858 41.047975 24.082136 1.806862 0.55 1.22
228 38.761675 41.047975 24.082136 1.787589 0.58 1.27
229 47.952628 41.047975 24.082136 0.05 0.1 0.5
230 56.947911 41.047975 24.082136 0.07792 0.12 0.53
231 56.947911 41.047975 24.082136 0.114366 0.14 0.56
232 38.419361 41.047975 24.082136 0.140148 0.16 0.59
233 65.715866 41.047975 24.082136 0.169517 0.18 0.62
234 65.715866 41.047975 24.082136 0.177812 0.2 0.65
235 65.715866 41.047975 24.082136 0.216863 0.22 0.68
236 38.526109 41.047975 24.082136 0.261537 0.24 0.71
