

gen best mean std sigma_prime mutation_r crossover_r
52 93.409567 87.542337 14.668061 0.71642 0.22 0.68
53 93.002788 87.39142 17.427923 0.734938 0.24 0.71
54 93.002788 87.135466 15.418399 0.746936 0.26 0.74
55 93.202788 87.95303 15.370581 0.784776 0.28 0.77
56 93.202788 85.9431 17.540876 0.833067 0.31 0.82
57 93.202788 88.521287 15.163439 0.947892 0.34 0.87
58 93.202788 87.404114 15.939536 0.930665 0.37 0.92
59 93.202788 86.281743 19.943289 1.044214 0.4 0.97
60 93.202788 86.271793 20.642115 1.115661 0.43 1.02
61 93.202788 83.308357 25.110557 1.096877 0.46 1.07
62 92.690612 82.886171 24.842978 1.186299 0.49 1.12
63 92.801503 86.17233 18.350625 1.269191 0.52 1.17
64 93.556575 83.304025 24.450929 1.284289 0.55 1.22
65 93.556575 81.553532 25.833706 1.245365 0.58 1.27
66 92.64704 82.210661 24.321692 0.05 0.1 0.5
67 92.696695 84.026293 21.539656 0.0763 0.12 0.53
68 93.882006 85.573198 19.719552 0.073413 0.1 0.5
69 92.690612 88.457644 10.273621 0.099528 0.12 0.53
70 93.202788 87.57994 15.700794 0.131343 0.14 0.56
71 93.202788 84.460773 19.516123 0.168906 0.16 0.59
72 93.202788 89.446251 11.786082 0.181364 0.18 0.62
73 93.409567 88.669114 13.669932 0.201771 0.2 0.65
74 93.202788 88.370874 14.244412 0.246608 0.22 0.68
75 93.409567 86.854068 17.121391 0.276092 0.24 0.71
76 93.409567 88.153429 12.279271 0.314756 0.26 0.74
77 93.409567 88.954833 13.537605 0.346865 0.28 0.77
78 92.93194 87.439499 14.9658 0.388644 0.31 0.82
79 93.409567 89.650786 10.077933 0.453958 0.34 0.87
80 93.202788 85.624919 21.880406 0.474807 0.37 0.92
81 93.409567 88.825064 15.503685 0.57646 0.4 0.97
82 93.409567 85.024825 22.677538 0.653669 0.43 1.02
83 93.37505 83.865041 23.881717 0.735673 0.46 1.07
84 93.409567 84.632285 22.84642 0.828129 0.49 1.12
85 93.409567 85.991174 17.65458 0.92789 0.52 1.17
86 93.202788 80.699121 25.267532 0.921436 0.55 1.22
87 93.202788 83.501571 24.20355 0.941892 0.58 1.27
88 92.796054 84.374535 20.088082 0.05 0.1 0.5
89 93.002788 87.371998 14.062465 0.073588 0.12 0.53
90 92.596054 87.300403 18.115616 0.099792 0.14 0.56
91 93.33194 88.008751 14.685411 0.14251 0.16 0.59
92 92.93194 86.200114 16.963221 0.184311 0.18 0.62
93 92.936168 84.748361 21.763772 0.210165 0.2 0.65
94 93.202788 87.921713 12.634994 0.233553 0.22 0.68
95 93.002788 89.438044 10.906409 0.243303 0.24 0.71
96 92.796054 88.406453 11.513037 0.270566 0.26 0.74
97 93.409567 89.779026 9.244509 0.301801 0.28 0.77
98 93.409567 88.086395 14.92056 0.345883 0.31 0.82
99 93.409567 87.572244 15.198975 0.390724 0.34 0.87
100 93.202788 88.919852 13.217093 0.451123 0.37 0.92
101 93.202788 88.616734 16.079717 0.486935 0.4 0.97
102 93.002788 84.602122 23.198538 0.605668 0.43 1.02
103 93.132142 90.449005 7.39277 0.663488 0.46 1.07
104 93.202788 87.449459 18.617519 0.647061 0.49 1.12
105 93.409567 83.352729 23.632707 0.74796 0.52 1.17
106 93.409567 86.516777 19.691783 0.853196 0.55 1.22
107 93.202788 84.44413 22.758713 0.833553 0.58 1.27
108 92.396054 81.610879 25.14684 0.05 0.1 0.5
109 93.132142 84.039703 21.8983 0.082065 0.12 0.53
110 92.04704 85.699486 20.689428 0.114892 0.14 0.56
111 92.690612 86.104598 17.647713 0.160217 0.16 0.59
112 93.132142 89.448665 12.934853 0.182835 0.18 0.62
113 93.202788 87.674134 14.717947 0.197358 0.2 0.65
114 93.409567 88.914012 12.190623 0.218068 0.22 0.68
115 92.64704 89.478495 9.902096 0.236151 0.24 0.71
116 92.690612 88.697971 12.739478 0.258135 0.26 0.74
117 93.132142 87.143693 15.289515 0.295071 0.28 0.77
118 92.690612 84.377871 18.037428 0.363328 0.31 0.82
119 92.690612 86.382983 15.392201 0.417052 0.34 0.87
120 92.690612 89.050722 11.433381 0.46999 0.37 0.92
121 93.202788 89.873689 11.204075 0.569385 0.4 0.97
122 93.33194 88.583391 13.062312 0.615563 0.43 1.02
123 93.33194 88.563414 13.034339 0.638877 0.46 1.07
124 92.650924 85.802733 18.465449 0.68718 0.49 1.12
125 92.690612 82.489272 23.80597 0.716962 0.52 1.17
126 92.690612 88.051327 15.986595 0.831678 0.55 1.22
127 92.690612 82.235574 25.063519 0.928741 0.58 1.27
128 92.690612 83.030381 24.801428 0.05 0.1 0.5
129 92.596054 87.052402 14.16697 0.086001 0.12 0.53
130 93.132142 91.031946 6.214987 0.105706 0.14 0.56
131 93.132142 89.93838 9.903635 0.135713 0.16 0.59
132 93.409567 88.611863 10.885523 0.172472 0.18 0.62
133 92.690612 87.314282 11.944119 0.197377 0.2 0.65
134 93.132142 87.035556 16.080413 0.210299 0.22 0.68
135 93.072124 86.151865 16.87038 0.258681 0.24 0.71
136 93.132142 88.752928 11.016589 0.311413 0.26 0.74
137 92.73194 84.835966 16.547642 0.316912 0.28 0.77
138 92.690612 87.066137 16.128897 0.384338 0.31 0.82
139 92.532142 86.455028 14.942213 0.451602 0.34 0.87
140 93.409567 89.35103 10.438855 0.508661 0.37 0.92
141 93.409567 88.42261 15.99631 0.604997 0.4 0.97
142 93.202788 88.287457 13.629805 0.69965 0.43 1.02
143 93.202788 83.811649 23.873582 0.772217 0.46 1.07
144 93.202788 83.711324 25.873722 0.821479 0.49 1.12
145 93.409567 85.726912 16.855428 0.963825 0.52 1.17
146 93.409567 83.154093 24.587853 0.938242 0.55 1.22
147 92.698742 84.891417 18.30889 1.088214 0.58 1.27
148 92.690612 83.709411 23.245448 0.05 0.1 0.5
149 93.202788 88.837523 14.619794 0.082808 0.12 0.53
150 93.33194 85.40565 17.827408 0.108988 0.14 0.56
151 93.218216 87.63275 12.877591 0.146615 0.16 0.59
152 93.218216 88.241435 8.601085 0.182132 0.18 0.62
153 92.690612 85.473682 16.10553 0.2326 0.2 0.65
154 92.690612 88.845702 11.194514 0.256281 0.22 0.68
155 92.690612 86.485282 15.255449 0.289703 0.24 0.71
156 92.690612 89.802221 11.130653 0.311986 0.26 0.74
157 92.690612 88.348627 13.59452 0.333447 0.28 0.77
158 92.690612 87.59736 16.036339 0.400385 0.31 0.82
159 93.312404 86.442675 17.414055 0.482614 0.34 0.87
160 93.312404 86.769061 15.814014 0.549343 0.37 0.92
161 93.002788 83.926386 24.224663 0.562634 0.4 0.97
162 93.002788 85.813742 19.703725 0.599957 0.43 1.02
163 92.73194 80.331223 28.559584 0.623932 0.46 1.07
164 93.202788 83.431977 24.212974 0.654193 0.49 1.12
