gen,best,mean,sd
199,45.0,-59.96666666666664,31.764199274585167
200,13.333333333333336,-58.71377777777776,25.74981342950511
201,21.33333333333333,-60.510222222222204,27.497741845782254
202,21.33333333333333,-55.29066666666666,25.26656731730689
203,21.33333333333333,-54.01466666666665,26.84427505833242
204,21.33333333333333,-58.78844444444443,27.3579279556163
205,21.33333333333333,-53.704888888888874,25.71857878299819
206,21.33333333333333,-55.61555555555554,25.38493273334684
207,21.33333333333333,-53.43555555555553,24.40287131456179
208,21.33333333333333,-56.47555555555554,27.261256368066253
209,21.33333333333333,-57.61555555555554,27.05766507860894
210,21.33333333333333,-55.10533333333331,25.339071011063222
211,21.33333333333333,-58.6222222222222,29.041227059747378
212,21.33333333333333,-51.39599999999997,26.208207060639122
213,21.33333333333333,-54.37111111111109,24.848980802310205
214,21.33333333333333,-51.748888888888864,25.961640553842408
215,21.33333333333333,-54.00888888888886,26.33127493127087
216,21.33333333333333,-53.42666666666664,27.207277893430856
217,21.33333333333333,-51.97199999999998,24.78280439695594
218,21.33333333333333,-52.78799999999997,27.178671452554976
219,21.33333333333333,-52.007555555555534,25.134251131685186
220,21.33333333333333,-50.985777777777756,24.726727583480496
221,21.33333333333333,-51.71911111111109,25.10152373910182
222,21.33333333333333,-49.812888888888864,27.117002671323103
223,21.33333333333333,-51.360888888888866,25.83388780671383
224,21.33333333333333,-48.82311111111109,23.715388954937076
225,21.33333333333333,-49.40266666666664,24.853317691935967
226,21.33333333333333,-55.30933333333332,26.800856017285344
227,21.33333333333333,-50.66755555555553,26.926784667746926
228,21.33333333333333,-55.77644444444442,27.48345240771098
229,21.33333333333333,-54.83333333333331,26.032967987193146
230,21.33333333333333,-54.869333333333316,27.539706424105663
231,21.33333333333333,-55.61155555555553,28.235931662325346
232,21.33333333333333,-51.44444444444442,27.267454122469676
233,21.33333333333333,-52.619111111111096,27.793181510383743
234,21.33333333333333,-52.607555555555535,25.63086049238784
235,21.33333333333333,-55.280888888888875,26.670724787514846
236,21.33333333333333,-56.15466666666665,28.4005887471578
237,21.33333333333333,-55.59999999999999,26.395032080270695
238,21.33333333333333,-56.26711111111109,27.108315517066725
239,21.33333333333333,-53.67377777777776,24.977599619767968
240,21.33333333333333,-48.62666666666664,24.665320083364332
241,21.33333333333333,-52.73642384105957,27.750593560992435
242,21.33333333333333,-54.15422222222219,26.163135089824312
243,21.33333333333333,-55.34399999999998,25.4609593139219
244,21.33333333333333,-53.47874720357939,27.959515905606125
245,21.33333333333333,-55.4053333333333,26.34555724159904
246,21.33333333333333,-57.61599999999997,28.34986882718366
247,21.33333333333333,-52.37244444444441,25.045370606950645
248,21.33333333333333,-53.80805369127514,24.676815026779146
249,21.33333333333333,-53.99823399558496,25.8320607215073
250,21.33333333333333,-51.9091722595078,25.34466509162077
251,21.33333333333333,-53.35231788079468,25.697830199598283
252,21.33333333333333,-55.7324503311258,26.487666322488252
253,21.33333333333333,-55.77704194260484,25.616654404144516
254,21.33333333333333,-56.56158940397348,28.070324214744826
255,21.33333333333333,-54.61789709172257,25.90344560115087
256,21.33333333333333,-54.40626398210287,28.185688047752958
257,21.33333333333333,-53.32671081677701,27.25441226266287
258,21.33333333333333,-53.94444444444441,29.72895674482715
259,21.33333333333333,-53.840618101545225,27.462673549202176
260,21.33333333333333,-55.12930648769572,28.8739173106339
261,21.33333333333333,-49.64844444444441,26.637213619898386
262,21.33333333333333,-53.76375838926171,30.10864887792342
263,21.33333333333333,-52.08888888888886,28.006141830800523
264,21.33333333333333,-54.00222222222219,27.864341653849824
265,21.33333333333333,-51.86577777777775,25.735565806059633
266,21.33333333333333,-55.16957494407156,27.611885047331597
